t[s];CAN3.VCU_APPS_RAW.apps_1000[]
78.140100;46
78.150100;43
78.160100;47
78.170100;45
78.180200;43
78.190200;48
78.200200;48
78.210100;47
78.220100;49
78.230200;46
78.240100;45
78.250100;47
78.260100;55
78.270100;53
78.280100;46
78.290100;46
78.300200;48
78.310100;49
78.320100;51
78.330100;55
78.340100;60
78.350200;65
78.360100;72
78.370100;87
78.380100;101
78.390100;114
78.400200;118
78.410100;144
78.420100;155
78.440100;186
78.450100;198
78.460100;204
78.470100;207
78.480200;206
78.490100;204
78.500100;200
78.510100;198
78.520100;198
78.530100;195
78.540100;188
78.550100;183
78.560100;177
78.570100;168
78.580100;161
78.590100;152
78.600100;156
78.610100;154
78.620100;154
78.630200;153
78.640100;155
78.660100;137
78.670100;121
78.680100;80
78.690100;49
78.710200;23
78.720100;18
78.730100;15
78.740100;18
78.750100;17
78.760100;21
78.770100;9
78.780100;9
78.790200;4
78.800200;5
78.810100;3
78.820200;4
78.830100;2
78.840100;4
78.850100;7
78.860100;3
78.870100;4
78.880100;2
78.890100;3
78.900200;0
78.910100;0
78.920100;0
78.930200;0
78.940100;0
78.950200;1
78.960100;10
78.970100;14
78.980100;0
78.990200;10
79.000100;14
79.010100;15
79.020100;20
79.030100;28
79.040200;31
79.050100;40
79.060100;44
79.070100;55
79.080100;69
79.090100;84
79.100100;102
79.110100;127
79.120100;133
79.130100;153
79.140100;150
79.150100;152
79.160100;149
79.170100;148
79.180200;147
79.190100;143
79.200100;141
79.210100;139
79.220200;130
79.230100;123
79.240100;115
79.250100;102
79.260200;103
79.270100;98
79.280200;90
79.290100;102
79.300100;111
79.310100;126
79.320100;137
79.330100;148
79.340200;152
79.350100;156
79.360100;157
79.370100;157
79.390200;154
79.400100;155
79.410100;157
79.420100;135
79.430200;128
79.440100;110
79.450200;95
79.460100;88
79.470100;90
79.480200;91
79.490200;90
79.500100;89
79.510100;90
79.520200;90
79.530100;87
79.540100;89
79.550100;90
79.560100;86
79.570200;85
79.580200;84
79.590200;87
79.600100;86
79.620100;88
79.630200;89
79.640100;90
79.650100;90
79.660200;90
79.670100;89
79.680200;97
79.690100;102
79.700100;104
79.710200;107
79.720100;111
79.730100;102
79.750100;95
79.760100;93
79.770100;80
79.780100;69
79.790200;47
79.800200;30
79.810200;19
79.820200;14
79.830200;13
79.840200;17
79.850100;13
79.860200;14
79.870200;26
79.880100;19
79.890200;21
79.900200;22
79.910200;28
79.920100;23
79.930200;27
79.940200;26
79.950200;24
79.960200;23
79.970100;21
79.980100;21
79.990200;23
80.000100;24
80.010200;24
80.020100;34
80.030100;29
80.040200;30
80.050200;30
80.060200;28
80.070200;24
80.080200;21
80.090200;29
80.100200;22
80.110200;23
80.120200;31
80.130200;23
80.140200;23
80.150100;22
80.160200;24
80.170200;34
80.180200;32
80.190200;36
80.200200;35
80.210200;46
80.220100;61
80.230200;79
80.240100;102
80.250100;123
80.260200;152
80.270200;180
80.280100;200
80.290200;219
80.300200;231
80.310200;238
80.320100;233
80.330200;233
80.340200;229
80.350200;222
80.360200;223
80.370200;228
80.380200;227
80.390200;227
80.400200;227
80.410200;227
80.420200;228
80.430200;225
80.440200;220
80.450200;215
80.460100;215
80.470100;212
80.480100;215
80.490200;219
80.500200;223
80.510200;225
80.520200;231
80.530100;233
80.540200;237
80.550200;236
80.560100;232
80.570100;229
80.580200;225
80.590100;220
80.600100;219
80.610100;221
80.620200;231
80.630200;231
80.640200;225
80.650200;230
80.660200;236
80.670200;233
80.680200;233
80.690200;234
80.700200;234
80.710200;236
80.720100;234
80.730200;232
80.740200;225
80.750200;222
80.760200;219
80.770200;210
80.780100;199
80.790100;180
80.800200;168
80.810200;163
80.820200;137
80.830100;137
80.840200;138
80.850200;147
80.860200;175
80.870100;221
80.880200;273
80.890100;324
80.900200;372
80.910200;385
80.920100;399
80.930200;408
80.940200;408
80.950200;409
80.960200;410
80.970100;412
80.980100;433
80.990200;445
81.000200;449
81.010100;455
81.020200;456
81.030200;452
81.040200;446
81.050200;440
81.060100;442
81.070200;446
81.080200;443
81.090100;443
81.100200;440
81.110100;443
81.120100;440
81.130200;438
81.140200;434
81.150100;422
81.160100;409
81.170100;384
81.180200;353
81.190200;312
81.200200;261
81.210200;215
81.220200;177
81.230200;157
81.240200;153
81.250200;170
81.260100;198
81.270200;231
81.280200;256
81.290100;273
81.300200;279
81.310200;274
81.320100;278
81.330100;292
81.340200;296
81.350200;314
81.360100;325
81.370100;342
81.380200;361
81.390200;374
81.400200;385
81.410100;384
81.420100;383
81.430200;388
81.440100;398
81.450200;420
81.460200;450
81.470100;489
81.480200;525
81.490200;552
81.500200;571
81.510100;580
81.520100;584
81.530100;581
81.540100;582
81.550200;572
81.560200;564
81.570100;551
81.580200;536
81.590200;522
81.600200;510
81.610100;493
81.620200;479
81.630200;466
81.640200;449
81.650100;435
81.660200;432
81.670200;429
81.680200;429
81.690100;433
81.700100;426
81.710200;424
81.720200;413
81.730200;406
81.740100;391
81.750100;385
81.760200;385
81.770200;387
81.780100;404
81.790200;410
81.800100;405
81.810200;401
81.820200;399
81.830100;392
81.840100;388
81.850200;381
81.860200;372
81.870200;371
81.880100;372
